"Subject_Id","Group_Name","PERSP","DRIVER_TYPE","first_vid","response","scenario","ratio","country","driving_experience","age_group","knowledge_of_av","better_place","gender","identify"
"5734","obs_av","OBS","AV","stay","swerve","road","4v1","australia","10+","60-69","yes","4","female","ped"
"5734","obs_av","OBS","AV","swerve","swerve","sidewalk","3v1","australia","10+","60-69","yes","4","female","ped"
"5734","obs_av","OBS","AV","swerve","stay","road","1v1","australia","10+","60-69","yes","4","female","ped"
"5734","obs_av","OBS","AV","stay","swerve","sidewalk","2v1","australia","10+","60-69","yes","4","female","ped"
"5734","obs_av","OBS","AV","swerve","swerve","carsac","3v1","australia","10+","60-69","yes","4","female","ped"
"5734","obs_av","OBS","AV","stay","swerve","carsac","4v1","australia","10+","60-69","yes","4","female","ped"
"5734","obs_av","OBS","AV","swerve","swerve","carsac","2v1","australia","10+","60-69","yes","4","female","ped"
"5734","obs_av","OBS","AV","swerve","swerve","road","3v1","australia","10+","60-69","yes","4","female","ped"
"5952","ped_main_h","PED_MAIN","HUMAN","swerve","swerve","sidewalk","3v1","china","5","30-39","yes","3","male","ped"
"5952","ped_main_h","PED_MAIN","HUMAN","stay","stay","carsac","3v1","china","5","30-39","yes","3","male","ped"
"5952","ped_main_h","PED_MAIN","HUMAN","stay","swerve","road","4v1","china","5","30-39","yes","3","male","ped"
"5952","ped_main_h","PED_MAIN","HUMAN","stay","swerve","road","1v1","china","5","30-39","yes","3","male","ped"
"5952","ped_main_h","PED_MAIN","HUMAN","stay","swerve","road","3v1","china","5","30-39","yes","3","male","ped"
"5952","ped_main_h","PED_MAIN","HUMAN","stay","swerve","sidewalk","4v1","china","5","30-39","yes","3","male","ped"
"5952","ped_main_h","PED_MAIN","HUMAN","swerve","stay","road","2v1","china","5","30-39","yes","3","male","ped"
"5952","ped_main_h","PED_MAIN","HUMAN","swerve","stay","carsac","1v1","china","5","30-39","yes","3","male","ped"
"5952","ped_main_h","PED_MAIN","HUMAN","stay","swerve","carsac","4v1","china","5","30-39","yes","3","male","ped"
"5952","ped_main_h","PED_MAIN","HUMAN","swerve","stay","sidewalk","2v1","china","5","30-39","yes","3","male","ped"
"5952","ped_main_h","PED_MAIN","HUMAN","swerve","stay","carsac","2v1","china","5","30-39","yes","3","male","ped"
"5952","ped_main_h","PED_MAIN","HUMAN","swerve","swerve","sidewalk","1v1","china","5","30-39","yes","3","male","ped"
"5952","ped_main_h","","","","","","","china","5","30-39","yes","3","male","ped"
"5672","obs_h","OBS","HUMAN","swerve","swerve","sidewalk","4v1","australia","10+","40-49","yes","3","female","car"
