"Subject_Id","Group_Name","Task_Name","PERSP","DRIVER_TYPE","first_vid","response","scenario","ratio","country","driving_experience","age_group","knowledge_of_av","better_place","gender","identify"
"3877","car_h","car_h_exp_trials","CAR","HUMAN","swerve","swerve","sidewalk","1v1","","","","","","",""
"3877","car_h","car_h_exp_trials","CAR","HUMAN","stay","stay","road","2v1","","","","","","",""
"3877","car_h","car_h_exp_trials","CAR","HUMAN","swerve","swerve","carsac","3v1","","","","","","",""
"3877","car_h","car_h_exp_trials","CAR","HUMAN","stay","swerve","sidewalk","3v1","","","","","","",""
"3877","car_h","car_h_exp_trials","CAR","HUMAN","stay","swerve","carsac","1v1","","","","","","",""
"3877","car_h","car_h_exp_trials","CAR","HUMAN","swerve","swerve","carsac","4v1","","","","","","",""
"3877","car_h","questionnaire_h","CAR","HUMAN","","","","","","","","yes","5","male","ped"
"3881","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","swerve","stay","road","1v1","","","","","","",""
"3881","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","stay","swerve","road","3v1","","","","","","",""
"3881","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","stay","swerve","carsac","4v1","","","","","","",""
"3881","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","swerve","swerve","carsac","2v1","","","","","","",""
"3881","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","stay","swerve","sidewalk","3v1","","","","","","",""
"3881","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","swerve","swerve","sidewalk","1v1","","","","","","",""
"3881","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","swerve","swerve","carsac","1v1","","","","","","",""
"3881","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","stay","swerve","road","2v1","","","","","","",""
"3881","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","stay","swerve","sidewalk","4v1","","","","","","",""
"3881","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","stay","swerve","road","4v1","","","","","","",""
"3881","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","swerve","swerve","carsac","3v1","","","","","","",""
"3881","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","swerve","swerve","sidewalk","2v1","","","","","","",""
"3881","ped_main_h","questionnaire_h","PED_MAIN","HUMAN","","","","","","","","yes","4","female","car"
"3905","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","stay","swerve","carsac","1v1","","","","","","",""
"3905","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","stay","swerve","sidewalk","1v1","","","","","","",""
"3905","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","swerve","swerve","sidewalk","2v1","","","","","","",""
"3905","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","stay","swerve","carsac","4v1","","","","","","",""
"3905","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","stay","swerve","sidewalk","4v1","","","","","","",""
"3905","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","swerve","swerve","carsac","2v1","","","","","","",""
"3905","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","swerve","swerve","sidewalk","3v1","","","","","","",""
"3905","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","swerve","swerve","road","2v1","","","","","","",""
"3905","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","swerve","swerve","carsac","3v1","","","","","","",""
"3905","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","stay","swerve","road","1v1","","","","","","",""
"3905","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","swerve","swerve","road","4v1","","","","","","",""
"3905","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","stay","swerve","road","3v1","","","","","","",""
"3905","ped_main_av","quesionnaire_av","PED_MAIN","AV","","","","","germany","6-10","18-29","yes","5","male","ped"
"3912","car_av","car_av_exp_trials","CAR","AV","stay","swerve","carsac","4v1","","","","","","",""
"3912","car_av","car_av_exp_trials","CAR","AV","stay","stay","sidewalk","1v1","","","","","","",""
"3912","car_av","car_av_exp_trials","CAR","AV","stay","swerve","road","3v1","","","","","","",""
"3912","car_av","car_av_exp_trials","CAR","AV","stay","swerve","road","4v1","","","","","","",""
"3912","car_av","car_av_exp_trials","CAR","AV","swerve","swerve","sidewalk","3v1","","","","","","",""
"3912","car_av","car_av_exp_trials","CAR","AV","swerve","swerve","road","2v1","","","","","","",""
"3912","car_av","car_av_exp_trials","CAR","AV","stay","swerve","carsac","2v1","","","","","","",""
"3912","car_av","car_av_exp_trials","CAR","AV","swerve","swerve","carsac","3v1","","","","","","",""
"3912","car_av","car_av_exp_trials","CAR","AV","swerve","swerve","carsac","1v1","","","","","","",""
"3912","car_av","car_av_exp_trials","CAR","AV","stay","swerve","sidewalk","4v1","","","","","","",""
"3912","car_av","car_av_exp_trials","CAR","AV","swerve","swerve","sidewalk","2v1","","","","","","",""
"3912","car_av","car_av_exp_trials","CAR","AV","swerve","swerve","road","1v1","","","","","","",""
"3912","car_av","quesionnaire_av","CAR","AV","","","","","armenia","0","30-39","yes","4","female","ped"
"3917","ped_side_h","ped_side_h_exp_trials","PED_SIDE","HUMAN","swerve","swerve","road","3v1","","","","","","",""
"3917","ped_side_h","ped_side_h_exp_trials","PED_SIDE","HUMAN","stay","swerve","sidewalk","4v1","","","","","","",""
"3917","ped_side_h","ped_side_h_exp_trials","PED_SIDE","HUMAN","stay","swerve","sidewalk","3v1","","","","","","",""
"3917","ped_side_h","ped_side_h_exp_trials","PED_SIDE","HUMAN","swerve","swerve","sidewalk","1v1","","","","","","",""
"3917","ped_side_h","ped_side_h_exp_trials","PED_SIDE","HUMAN","swerve","swerve","sidewalk","2v1","","","","","","",""
"3917","ped_side_h","ped_side_h_exp_trials","PED_SIDE","HUMAN","swerve","swerve","road","2v1","","","","","","",""
"3917","ped_side_h","ped_side_h_exp_trials","PED_SIDE","HUMAN","stay","swerve","road","4v1","","","","","","",""
"3917","ped_side_h","ped_side_h_exp_trials","PED_SIDE","HUMAN","stay","swerve","road","1v1","","","","","","",""
"3917","ped_side_h","questionnaire_h","PED_SIDE","HUMAN","","","","","","","","yes","2","female","ped"
"3963","obs_av","obs_av_exp_trials","OBS","AV","swerve","swerve","carsac","2v1","","","","","","",""
"3963","obs_av","obs_av_exp_trials","OBS","AV","stay","swerve","sidewalk","3v1","","","","","","",""
"3963","obs_av","obs_av_exp_trials","OBS","AV","stay","swerve","road","3v1","","","","","","",""
"3963","obs_av","obs_av_exp_trials","OBS","AV","stay","swerve","road","2v1","","","","","","",""
"3963","obs_av","obs_av_exp_trials","OBS","AV","stay","swerve","carsac","3v1","","","","","","",""
"3963","obs_av","obs_av_exp_trials","OBS","AV","swerve","swerve","sidewalk","4v1","","","","","","",""
"3963","obs_av","obs_av_exp_trials","OBS","AV","swerve","swerve","sidewalk","2v1","","","","","","",""
"3963","obs_av","obs_av_exp_trials","OBS","AV","swerve","stay","road","1v1","","","","","","",""
"3963","obs_av","obs_av_exp_trials","OBS","AV","stay","swerve","sidewalk","1v1","","","","","","",""
"3963","obs_av","obs_av_exp_trials","OBS","AV","stay","swerve","carsac","1v1","","","","","","",""
"3963","obs_av","obs_av_exp_trials","OBS","AV","swerve","swerve","carsac","4v1","","","","","","",""
"3963","obs_av","obs_av_exp_trials","OBS","AV","swerve","swerve","road","4v1","","","","","","",""
"3963","obs_av","quesionnaire_av","OBS","AV","","","","","armenia","10+","50-59","yes","4","male","car"
"3947","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","stay","swerve","sidewalk","3v1","","","","","","",""
"3947","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","swerve","stay","road","1v1","","","","","","",""
"3947","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","stay","swerve","road","3v1","","","","","","",""
"3947","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","swerve","swerve","sidewalk","4v1","","","","","","",""
"3947","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","swerve","swerve","carsac","3v1","","","","","","",""
"3947","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","stay","swerve","sidewalk","2v1","","","","","","",""
"3947","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","stay","swerve","road","2v1","","","","","","",""
"3947","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","stay","stay","carsac","1v1","","","","","","",""
"3947","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","swerve","stay","sidewalk","1v1","","","","","","",""
"3947","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","swerve","swerve","carsac","4v1","","","","","","",""
"3947","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","stay","swerve","carsac","2v1","","","","","","",""
